Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId
磁搅参数已执行,Magnetic_Stirrer_Parameters_Executed,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.磁搅参数已执行
磁搅参数已下发,Magnetic_Stirrer_Parameters_Sent,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.磁搅参数已下发
磁搅占位,Magnetic_Stirrer_Occupied,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.磁搅占位
磁搅加工完成,Magnetic_Stirrer_Processing_Complete,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.磁搅加工完成
磁搅初始化完成,Magnetic_Stirrer_Initialization_Complete,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.磁搅初始化完成
磁搅初始化,Magnetic_Stirrer_Initialize,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.磁搅初始化
水合工站初始化完成,Hydration_Workstation_Initialization_Complete,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.水合工站初始化完成
水合工站初始化PC,Hydration_Workstation_PC_Initialization,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.水合工站初始化PC
机械臂空闲,Robotic_Arm_Idle,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.机械臂空闲
机械臂目标取放料代码,Robotic_Arm_Target_Pick_Place_Code,VARIABLE,INT16,Chinese,ns=2;s=test1.device9.机械臂目标取放料代码
机械臂目标位置代码,Robotic_Arm_Target_Position_Code,VARIABLE,INT16,Chinese,ns=2;s=test1.device9.机械臂目标位置代码
机械臂故障,Robotic_Arm_Fault,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.机械臂故障
机械臂当前目标位置,Robotic_Arm_Current_Target_Position,VARIABLE,INT16,Chinese,ns=2;s=test1.device9.机械臂当前目标位置
机械臂当前夹具,Robotic_Arm_Current_Gripper,VARIABLE,INT16,Chinese,ns=2;s=test1.device9.机械臂当前夹具
机械臂当前取放料,Robotic_Arm_Current_Pick/Place,VARIABLE,INT16,Chinese,ns=2;s=test1.device9.机械臂当前取放料
