# Spectrometer ID,spectrometer
# Timestamp,2026-06-10 11:57:12
# Integration Time (ms),50.0
# Average Count,3

Wavelength (nm),Intensity
198.57864980050817,1639.0
198.66855625159934,1639.0
198.75846484104966,1647.6666666666667
198.84837556811937,1634.0
198.93828843206865,1622.0
199.02820343215774,1663.6666666666667
199.11812056764677,1609.0
199.208039837796,1611.6666666666667
199.2979612418656,1625.3333333333333
199.3878847791158,1643.6666666666667
199.4778104488068,1682.3333333333333
199.56773825019872,1659.0
199.65766818255184,1669.6666666666667
199.74760024512636,1699.6666666666667
199.83753443718246,1682.0
199.9274707579803,1638.3333333333333
200.01740920678017,1642.6666666666667
200.10734978284222,1644.0
200.1972924854266,1643.6666666666667
200.28723731379358,1680.0
200.37718426720335,1645.3333333333333
200.46713334491614,1649.6666666666667
200.55708454619204,1671.6666666666667
200.64703787029137,1662.0
200.73699331647424,1646.3333333333333
200.82695088400092,1641.6666666666667
200.91691057213157,1648.6666666666667
201.00687238012637,1620.3333333333333
201.0968363072456,1643.3333333333333
201.18680235274942,1657.3333333333333
201.27677051589797,1696.0
201.3667407959515,1652.3333333333333
201.45671319217027,1642.3333333333333
201.54668770381437,1666.6666666666667
201.63666433014404,1666.3333333333333
201.7266430704195,1667.0
201.81662392390098,1663.3333333333333
201.90660688984863,1634.3333333333333
201.99659196752262,1632.0
202.0865791561832,1626.3333333333333
202.17656845509057,1620.3333333333333
202.26655986350494,1633.0
202.35655338068645,1650.3333333333333
202.44654900589535,1659.6666666666667
202.53654673839188,1651.3333333333333
202.62654657743613,1642.3333333333333
202.71654852228838,1667.6666666666667
202.8065525722088,1647.0
202.89655872645764,1624.3333333333333
202.986566984295,1655.6666666666667
203.07657734498116,1685.3333333333333
203.16658980777632,1659.6666666666667
203.25660437194065,1648.0
203.34662103673438,1674.6666666666667
203.43663980141767,1684.0
203.52666066525074,1672.3333333333333
203.61668362749376,1686.3333333333333
203.706708687407,1655.6666666666667
203.7967358442506,1651.6666666666667
203.8867650972848,1643.0
203.9767964457698,1642.6666666666667
204.0668298889657,1698.6666666666667
204.15686542613284,1682.3333333333333
204.24690305653138,1673.3333333333333
204.33694277942146,1647.0
204.42698459406333,1662.3333333333333
204.51702849971718,1638.6666666666667
204.60707449564322,1660.3333333333333
204.69712258110164,1671.0
204.7871727553526,1654.0
204.87722501765637,1637.0
204.96727936727314,1652.3333333333333
205.05733580346305,1666.0
205.14739432548635,1665.6666666666667
205.23745493260327,1643.3333333333333
205.32751762407392,1653.0
205.41758239915856,1642.6666666666667
205.50764925711738,1678.6666666666667
205.5977181972106,1668.6666666666667
205.6877892186984,1633.3333333333333
205.777862320841,1589.0
205.8679375028985,1627.6666666666667
205.95801476413126,1695.3333333333333
206.04809410379934,1638.0
206.13817552116305,1633.0
206.2282590154825,1627.6666666666667
206.318344586018,1662.6666666666667
206.40843223202958,1659.0
206.49852195277762,1611.6666666666667
206.5886137475222,1664.3333333333333
206.6787076155236,1651.6666666666667
206.76880355604195,1665.6666666666667
206.85890156833744,1669.6666666666667
206.94900165167036,1616.3333333333333
