序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,S05加工完成,BOOL,,ON,保持,公有,拍照工位完成 PLC TO PC,R10530.1,
2,S05拍照结果,INT,,1,保持,公有,拍照1OK 2NG PLC TO PC,R10531,
