序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,node_id
,传感器状态_上位机[9].NO[13],BOOL,,OFF,,,,R10009.13,ns=4;s=上位机通讯|传感器状态_上位机[9].NO[13]
,传感器状态_上位机[9].NO[14],BOOL,,OFF,,,,R10009.14,ns=4;s=上位机通讯|传感器状态_上位机[9].NO[14]
,传感器状态_上位机[9].NO[15],BOOL,,OFF,,,,R10009.15,ns=4;s=上位机通讯|传感器状态_上位机[9].NO[15]
2,物料二维码_上位机,INT[30],,...,保持,公有,,R10010,ns=4;s=上位机通讯|物料二维码_上位机
,物料二维码_上位机[0],INT,,0,,,,R10010,ns=4;s=上位机通讯|物料二维码_上位机[0]
,物料二维码_上位机[1],INT,,0,,,,R10011,ns=4;s=上位机通讯|物料二维码_上位机[1]
,物料二维码_上位机[2],INT,,0,,,,R10012,ns=4;s=上位机通讯|物料二维码_上位机[2]
,物料二维码_上位机[3],INT,,0,,,,R10013,ns=4;s=上位机通讯|物料二维码_上位机[3]
,物料二维码_上位机[4],INT,,0,,,,R10014,ns=4;s=上位机通讯|物料二维码_上位机[4]
,物料二维码_上位机[5],INT,,0,,,,R10015,ns=4;s=上位机通讯|物料二维码_上位机[5]
,物料二维码_上位机[6],INT,,0,,,,R10016,ns=4;s=上位机通讯|物料二维码_上位机[6]
,物料二维码_上位机[7],INT,,0,,,,R10017,ns=4;s=上位机通讯|物料二维码_上位机[7]
,物料二维码_上位机[8],INT,,0,,,,R10018,ns=4;s=上位机通讯|物料二维码_上位机[8]
,物料二维码_上位机[9],INT,,0,,,,R10019,ns=4;s=上位机通讯|物料二维码_上位机[9]
,物料二维码_上位机[10],INT,,0,,,,R10020,ns=4;s=上位机通讯|物料二维码_上位机[10]
,物料二维码_上位机[11],INT,,0,,,,R10021,ns=4;s=上位机通讯|物料二维码_上位机[11]
,物料二维码_上位机[12],INT,,0,,,,R10022,ns=4;s=上位机通讯|物料二维码_上位机[12]
,物料二维码_上位机[13],INT,,0,,,,R10023,ns=4;s=上位机通讯|物料二维码_上位机[13]
,物料二维码_上位机[14],INT,,0,,,,R10024,ns=4;s=上位机通讯|物料二维码_上位机[14]
,物料二维码_上位机[15],INT,,0,,,,R10025,ns=4;s=上位机通讯|物料二维码_上位机[15]
,物料二维码_上位机[16],INT,,0,,,,R10026,ns=4;s=上位机通讯|物料二维码_上位机[16]
,物料二维码_上位机[17],INT,,0,,,,R10027,ns=4;s=上位机通讯|物料二维码_上位机[17]
,物料二维码_上位机[18],INT,,0,,,,R10028,ns=4;s=上位机通讯|物料二维码_上位机[18]
,物料二维码_上位机[19],INT,,0,,,,R10029,ns=4;s=上位机通讯|物料二维码_上位机[19]
,物料二维码_上位机[20],INT,,0,,,,R10030,ns=4;s=上位机通讯|物料二维码_上位机[20]
,物料二维码_上位机[21],INT,,0,,,,R10031,ns=4;s=上位机通讯|物料二维码_上位机[21]
,物料二维码_上位机[22],INT,,0,,,,R10032,ns=4;s=上位机通讯|物料二维码_上位机[22]
,物料二维码_上位机[23],INT,,0,,,,R10033,ns=4;s=上位机通讯|物料二维码_上位机[23]
,物料二维码_上位机[24],INT,,0,,,,R10034,ns=4;s=上位机通讯|物料二维码_上位机[24]
,物料二维码_上位机[25],INT,,0,,,,R10035,ns=4;s=上位机通讯|物料二维码_上位机[25]
,物料二维码_上位机[26],INT,,0,,,,R10036,ns=4;s=上位机通讯|物料二维码_上位机[26]
,物料二维码_上位机[27],INT,,0,,,,R10037,ns=4;s=上位机通讯|物料二维码_上位机[27]
,物料二维码_上位机[28],INT,,0,,,,R10038,ns=4;s=上位机通讯|物料二维码_上位机[28]
,物料二维码_上位机[29],INT,,0,,,,R10039,ns=4;s=上位机通讯|物料二维码_上位机[29]
3,S041准备信号,BOOL,,OFF,保持,公有,磁搅工位1_PLC TO PC 设备可以取放料,,ns=4;s=上位机通讯|S041准备信号
4,S041磁搅状态,INT,,0,保持,公有,磁搅工位1_PLC TO PC  1空闲，2Busy,,ns=4;s=上位机通讯|S041磁搅状态
