序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,node_id
,S082_1数据缓存[15],INT,,0,,,,R10575,ns=4;s=上位机通讯|S082_1数据缓存[15]
,S082_1数据缓存[16],INT,,0,,,,R10576,ns=4;s=上位机通讯|S082_1数据缓存[16]
,S082_1数据缓存[17],INT,,0,,,,R10577,ns=4;s=上位机通讯|S082_1数据缓存[17]
,S082_1数据缓存[18],INT,,0,,,,R10578,ns=4;s=上位机通讯|S082_1数据缓存[18]
,S082_1数据缓存[19],INT,,0,,,,R10579,ns=4;s=上位机通讯|S082_1数据缓存[19]
,S082_1数据缓存[20],INT,,0,,,,R10580,ns=4;s=上位机通讯|S082_1数据缓存[20]
,S082_1数据缓存[21],INT,,0,,,,R10581,ns=4;s=上位机通讯|S082_1数据缓存[21]
,S082_1数据缓存[22],INT,,0,,,,R10582,ns=4;s=上位机通讯|S082_1数据缓存[22]
,S082_1数据缓存[23],INT,,0,,,,R10583,ns=4;s=上位机通讯|S082_1数据缓存[23]
,S082_1数据缓存[24],INT,,0,,,,R10584,ns=4;s=上位机通讯|S082_1数据缓存[24]
,S082_1数据缓存[25],INT,,0,,,,R10585,ns=4;s=上位机通讯|S082_1数据缓存[25]
,S082_1数据缓存[26],INT,,0,,,,R10586,ns=4;s=上位机通讯|S082_1数据缓存[26]
,S082_1数据缓存[27],INT,,0,,,,R10587,ns=4;s=上位机通讯|S082_1数据缓存[27]
,S082_1数据缓存[28],INT,,0,,,,R10588,ns=4;s=上位机通讯|S082_1数据缓存[28]
,S082_1数据缓存[29],INT,,0,,,,R10589,ns=4;s=上位机通讯|S082_1数据缓存[29]
62,S082_2数据缓存,INT[30],,...,保持,公有,放瓶盖工位2二维码数据存放 PC-PLC,R10590,ns=4;s=上位机通讯|S082_2数据缓存
,S082_2数据缓存[0],INT,,0,,,,R10590,ns=4;s=上位机通讯|S082_2数据缓存[0]
,S082_2数据缓存[1],INT,,0,,,,R10591,ns=4;s=上位机通讯|S082_2数据缓存[1]
,S082_2数据缓存[2],INT,,0,,,,R10592,ns=4;s=上位机通讯|S082_2数据缓存[2]
,S082_2数据缓存[3],INT,,0,,,,R10593,ns=4;s=上位机通讯|S082_2数据缓存[3]
,S082_2数据缓存[4],INT,,0,,,,R10594,ns=4;s=上位机通讯|S082_2数据缓存[4]
,S082_2数据缓存[5],INT,,0,,,,R10595,ns=4;s=上位机通讯|S082_2数据缓存[5]
,S082_2数据缓存[6],INT,,0,,,,R10596,ns=4;s=上位机通讯|S082_2数据缓存[6]
,S082_2数据缓存[7],INT,,0,,,,R10597,ns=4;s=上位机通讯|S082_2数据缓存[7]
,S082_2数据缓存[8],INT,,0,,,,R10598,ns=4;s=上位机通讯|S082_2数据缓存[8]
,S082_2数据缓存[9],INT,,0,,,,R10599,ns=4;s=上位机通讯|S082_2数据缓存[9]
,S082_2数据缓存[10],INT,,0,,,,R10600,ns=4;s=上位机通讯|S082_2数据缓存[10]
,S082_2数据缓存[11],INT,,0,,,,R10601,ns=4;s=上位机通讯|S082_2数据缓存[11]
,S082_2数据缓存[12],INT,,0,,,,R10602,ns=4;s=上位机通讯|S082_2数据缓存[12]
,S082_2数据缓存[13],INT,,0,,,,R10603,ns=4;s=上位机通讯|S082_2数据缓存[13]
,S082_2数据缓存[14],INT,,0,,,,R10604,ns=4;s=上位机通讯|S082_2数据缓存[14]
,S082_2数据缓存[15],INT,,0,,,,R10605,ns=4;s=上位机通讯|S082_2数据缓存[15]
,S082_2数据缓存[16],INT,,0,,,,R10606,ns=4;s=上位机通讯|S082_2数据缓存[16]
,S082_2数据缓存[17],INT,,0,,,,R10607,ns=4;s=上位机通讯|S082_2数据缓存[17]
,S082_2数据缓存[18],INT,,0,,,,R10608,ns=4;s=上位机通讯|S082_2数据缓存[18]
,S082_2数据缓存[19],INT,,0,,,,R10609,ns=4;s=上位机通讯|S082_2数据缓存[19]
,S082_2数据缓存[20],INT,,0,,,,R10610,ns=4;s=上位机通讯|S082_2数据缓存[20]
,S082_2数据缓存[21],INT,,0,,,,R10611,ns=4;s=上位机通讯|S082_2数据缓存[21]
,S082_2数据缓存[22],INT,,0,,,,R10612,ns=4;s=上位机通讯|S082_2数据缓存[22]
,S082_2数据缓存[23],INT,,0,,,,R10613,ns=4;s=上位机通讯|S082_2数据缓存[23]
,S082_2数据缓存[24],INT,,0,,,,R10614,ns=4;s=上位机通讯|S082_2数据缓存[24]
,S082_2数据缓存[25],INT,,0,,,,R10615,ns=4;s=上位机通讯|S082_2数据缓存[25]
,S082_2数据缓存[26],INT,,0,,,,R10616,ns=4;s=上位机通讯|S082_2数据缓存[26]
,S082_2数据缓存[27],INT,,0,,,,R10617,ns=4;s=上位机通讯|S082_2数据缓存[27]
,S082_2数据缓存[28],INT,,0,,,,R10618,ns=4;s=上位机通讯|S082_2数据缓存[28]
,S082_2数据缓存[29],INT,,0,,,,R10619,ns=4;s=上位机通讯|S082_2数据缓存[29]
63,S082_3数据缓存,INT[30],,...,保持,公有,放瓶盖工位3二维码数据存放 PC-PLC,R10620,ns=4;s=上位机通讯|S082_3数据缓存
,S082_3数据缓存[0],INT,,0,,,,R10620,ns=4;s=上位机通讯|S082_3数据缓存[0]
,S082_3数据缓存[1],INT,,0,,,,R10621,ns=4;s=上位机通讯|S082_3数据缓存[1]
,S082_3数据缓存[2],INT,,0,,,,R10622,ns=4;s=上位机通讯|S082_3数据缓存[2]
,S082_3数据缓存[3],INT,,0,,,,R10623,ns=4;s=上位机通讯|S082_3数据缓存[3]
,S082_3数据缓存[4],INT,,0,,,,R10624,ns=4;s=上位机通讯|S082_3数据缓存[4]
,S082_3数据缓存[5],INT,,0,,,,R10625,ns=4;s=上位机通讯|S082_3数据缓存[5]
,S082_3数据缓存[6],INT,,0,,,,R10626,ns=4;s=上位机通讯|S082_3数据缓存[6]
,S082_3数据缓存[7],INT,,0,,,,R10627,ns=4;s=上位机通讯|S082_3数据缓存[7]
,S082_3数据缓存[8],INT,,0,,,,R10628,ns=4;s=上位机通讯|S082_3数据缓存[8]
,S082_3数据缓存[9],INT,,0,,,,R10629,ns=4;s=上位机通讯|S082_3数据缓存[9]
,S082_3数据缓存[10],INT,,0,,,,R10630,ns=4;s=上位机通讯|S082_3数据缓存[10]
,S082_3数据缓存[11],INT,,0,,,,R10631,ns=4;s=上位机通讯|S082_3数据缓存[11]
,S082_3数据缓存[12],INT,,0,,,,R10632,ns=4;s=上位机通讯|S082_3数据缓存[12]
,S082_3数据缓存[13],INT,,0,,,,R10633,ns=4;s=上位机通讯|S082_3数据缓存[13]
,S082_3数据缓存[14],INT,,0,,,,R10634,ns=4;s=上位机通讯|S082_3数据缓存[14]
,S082_3数据缓存[15],INT,,0,,,,R10635,ns=4;s=上位机通讯|S082_3数据缓存[15]
,S082_3数据缓存[16],INT,,0,,,,R10636,ns=4;s=上位机通讯|S082_3数据缓存[16]
,S082_3数据缓存[17],INT,,0,,,,R10637,ns=4;s=上位机通讯|S082_3数据缓存[17]
,S082_3数据缓存[18],INT,,0,,,,R10638,ns=4;s=上位机通讯|S082_3数据缓存[18]
,S082_3数据缓存[19],INT,,0,,,,R10639,ns=4;s=上位机通讯|S082_3数据缓存[19]
,S082_3数据缓存[20],INT,,0,,,,R10640,ns=4;s=上位机通讯|S082_3数据缓存[20]
,S082_3数据缓存[21],INT,,0,,,,R10641,ns=4;s=上位机通讯|S082_3数据缓存[21]
,S082_3数据缓存[22],INT,,0,,,,R10642,ns=4;s=上位机通讯|S082_3数据缓存[22]
,S082_3数据缓存[23],INT,,0,,,,R10643,ns=4;s=上位机通讯|S082_3数据缓存[23]
,S082_3数据缓存[24],INT,,0,,,,R10644,ns=4;s=上位机通讯|S082_3数据缓存[24]
,S082_3数据缓存[25],INT,,0,,,,R10645,ns=4;s=上位机通讯|S082_3数据缓存[25]
,S082_3数据缓存[26],INT,,0,,,,R10646,ns=4;s=上位机通讯|S082_3数据缓存[26]
,S082_3数据缓存[27],INT,,0,,,,R10647,ns=4;s=上位机通讯|S082_3数据缓存[27]
,S082_3数据缓存[28],INT,,0,,,,R10648,ns=4;s=上位机通讯|S082_3数据缓存[28]
,S082_3数据缓存[29],INT,,0,,,,R10649,ns=4;s=上位机通讯|S082_3数据缓存[29]
64,S082_4数据缓存,INT[30],,...,保持,公有,放瓶盖工位4二维码数据存放 PC-PLC,R10650,ns=4;s=上位机通讯|S082_4数据缓存
,S082_4数据缓存[0],INT,,0,,,,R10650,ns=4;s=上位机通讯|S082_4数据缓存[0]
,S082_4数据缓存[1],INT,,0,,,,R10651,ns=4;s=上位机通讯|S082_4数据缓存[1]
,S082_4数据缓存[2],INT,,0,,,,R10652,ns=4;s=上位机通讯|S082_4数据缓存[2]
,S082_4数据缓存[3],INT,,0,,,,R10653,ns=4;s=上位机通讯|S082_4数据缓存[3]
,S082_4数据缓存[4],INT,,0,,,,R10654,ns=4;s=上位机通讯|S082_4数据缓存[4]
,S082_4数据缓存[5],INT,,0,,,,R10655,ns=4;s=上位机通讯|S082_4数据缓存[5]
,S082_4数据缓存[6],INT,,0,,,,R10656,ns=4;s=上位机通讯|S082_4数据缓存[6]
,S082_4数据缓存[7],INT,,0,,,,R10657,ns=4;s=上位机通讯|S082_4数据缓存[7]
,S082_4数据缓存[8],INT,,0,,,,R10658,ns=4;s=上位机通讯|S082_4数据缓存[8]
,S082_4数据缓存[9],INT,,0,,,,R10659,ns=4;s=上位机通讯|S082_4数据缓存[9]
,S082_4数据缓存[10],INT,,0,,,,R10660,ns=4;s=上位机通讯|S082_4数据缓存[10]
,S082_4数据缓存[11],INT,,0,,,,R10661,ns=4;s=上位机通讯|S082_4数据缓存[11]
,S082_4数据缓存[12],INT,,0,,,,R10662,ns=4;s=上位机通讯|S082_4数据缓存[12]
,S082_4数据缓存[13],INT,,0,,,,R10663,ns=4;s=上位机通讯|S082_4数据缓存[13]
,S082_4数据缓存[14],INT,,0,,,,R10664,ns=4;s=上位机通讯|S082_4数据缓存[14]
,S082_4数据缓存[15],INT,,0,,,,R10665,ns=4;s=上位机通讯|S082_4数据缓存[15]
,S082_4数据缓存[16],INT,,0,,,,R10666,ns=4;s=上位机通讯|S082_4数据缓存[16]
,S082_4数据缓存[17],INT,,0,,,,R10667,ns=4;s=上位机通讯|S082_4数据缓存[17]
,S082_4数据缓存[18],INT,,0,,,,R10668,ns=4;s=上位机通讯|S082_4数据缓存[18]
,S082_4数据缓存[19],INT,,0,,,,R10669,ns=4;s=上位机通讯|S082_4数据缓存[19]
,S082_4数据缓存[20],INT,,0,,,,R10670,ns=4;s=上位机通讯|S082_4数据缓存[20]
,S082_4数据缓存[21],INT,,0,,,,R10671,ns=4;s=上位机通讯|S082_4数据缓存[21]
,S082_4数据缓存[22],INT,,0,,,,R10672,ns=4;s=上位机通讯|S082_4数据缓存[22]
,S082_4数据缓存[23],INT,,0,,,,R10673,ns=4;s=上位机通讯|S082_4数据缓存[23]
,S082_4数据缓存[24],INT,,0,,,,R10674,ns=4;s=上位机通讯|S082_4数据缓存[24]
,S082_4数据缓存[25],INT,,0,,,,R10675,ns=4;s=上位机通讯|S082_4数据缓存[25]
,S082_4数据缓存[26],INT,,0,,,,R10676,ns=4;s=上位机通讯|S082_4数据缓存[26]
,S082_4数据缓存[27],INT,,0,,,,R10677,ns=4;s=上位机通讯|S082_4数据缓存[27]
,S082_4数据缓存[28],INT,,0,,,,R10678,ns=4;s=上位机通讯|S082_4数据缓存[28]
,S082_4数据缓存[29],INT,,0,,,,R10679,ns=4;s=上位机通讯|S082_4数据缓存[29]
65,S082_5数据缓存,INT[30],,...,保持,公有,放瓶盖工位5二维码数据存放 PC-PLC,R10680,ns=4;s=上位机通讯|S082_5数据缓存
,S082_5数据缓存[0],INT,,0,,,,R10680,ns=4;s=上位机通讯|S082_5数据缓存[0]
,S082_5数据缓存[1],INT,,0,,,,R10681,ns=4;s=上位机通讯|S082_5数据缓存[1]
,S082_5数据缓存[2],INT,,0,,,,R10682,ns=4;s=上位机通讯|S082_5数据缓存[2]
,S082_5数据缓存[3],INT,,0,,,,R10683,ns=4;s=上位机通讯|S082_5数据缓存[3]
,S082_5数据缓存[4],INT,,0,,,,R10684,ns=4;s=上位机通讯|S082_5数据缓存[4]
,S082_5数据缓存[5],INT,,0,,,,R10685,ns=4;s=上位机通讯|S082_5数据缓存[5]
,S082_5数据缓存[6],INT,,0,,,,R10686,ns=4;s=上位机通讯|S082_5数据缓存[6]
,S082_5数据缓存[7],INT,,0,,,,R10687,ns=4;s=上位机通讯|S082_5数据缓存[7]
,S082_5数据缓存[8],INT,,0,,,,R10688,ns=4;s=上位机通讯|S082_5数据缓存[8]
,S082_5数据缓存[9],INT,,0,,,,R10689,ns=4;s=上位机通讯|S082_5数据缓存[9]
,S082_5数据缓存[10],INT,,0,,,,R10690,ns=4;s=上位机通讯|S082_5数据缓存[10]
,S082_5数据缓存[11],INT,,0,,,,R10691,ns=4;s=上位机通讯|S082_5数据缓存[11]
,S082_5数据缓存[12],INT,,0,,,,R10692,ns=4;s=上位机通讯|S082_5数据缓存[12]
,S082_5数据缓存[13],INT,,0,,,,R10693,ns=4;s=上位机通讯|S082_5数据缓存[13]
,S082_5数据缓存[14],INT,,0,,,,R10694,ns=4;s=上位机通讯|S082_5数据缓存[14]
,S082_5数据缓存[15],INT,,0,,,,R10695,ns=4;s=上位机通讯|S082_5数据缓存[15]
,S082_5数据缓存[16],INT,,0,,,,R10696,ns=4;s=上位机通讯|S082_5数据缓存[16]
,S082_5数据缓存[17],INT,,0,,,,R10697,ns=4;s=上位机通讯|S082_5数据缓存[17]
,S082_5数据缓存[18],INT,,0,,,,R10698,ns=4;s=上位机通讯|S082_5数据缓存[18]
,S082_5数据缓存[19],INT,,0,,,,R10699,ns=4;s=上位机通讯|S082_5数据缓存[19]
,S082_5数据缓存[20],INT,,0,,,,R10700,ns=4;s=上位机通讯|S082_5数据缓存[20]
,S082_5数据缓存[21],INT,,0,,,,R10701,ns=4;s=上位机通讯|S082_5数据缓存[21]
,S082_5数据缓存[22],INT,,0,,,,R10702,ns=4;s=上位机通讯|S082_5数据缓存[22]
,S082_5数据缓存[23],INT,,0,,,,R10703,ns=4;s=上位机通讯|S082_5数据缓存[23]
,S082_5数据缓存[24],INT,,0,,,,R10704,ns=4;s=上位机通讯|S082_5数据缓存[24]
,S082_5数据缓存[25],INT,,0,,,,R10705,ns=4;s=上位机通讯|S082_5数据缓存[25]
,S082_5数据缓存[26],INT,,0,,,,R10706,ns=4;s=上位机通讯|S082_5数据缓存[26]
,S082_5数据缓存[27],INT,,0,,,,R10707,ns=4;s=上位机通讯|S082_5数据缓存[27]
,S082_5数据缓存[28],INT,,0,,,,R10708,ns=4;s=上位机通讯|S082_5数据缓存[28]
,S082_5数据缓存[29],INT,,0,,,,R10709,ns=4;s=上位机通讯|S082_5数据缓存[29]
66,S09原点信号_1,BOOL,,OFF,保持,公有,加液工位-PLC TO PC,R10800.0,ns=4;s=上位机通讯|S09原点信号_1
67,S09原点信号_2,BOOL,,OFF,保持,公有,加液工位-PLC TO PC,R10800.1,ns=4;s=上位机通讯|S09原点信号_2
68,S09原点信号_3,BOOL,,OFF,保持,公有,加液工位-PLC TO PC,R10800.2,ns=4;s=上位机通讯|S09原点信号_3
69,S09原点信号_4,BOOL,,OFF,保持,公有,加液工位-PLC TO PC,R10800.3,ns=4;s=上位机通讯|S09原点信号_4
70,S09允许加工,BOOL,,OFF,不保持,私有,加液工位-PLC TO PC,,ns=4;s=上位机通讯|S09允许加工
71,S09工艺选择,INT,,0,保持,公有,加液工位-PC TO PLC,R10801,ns=4;s=上位机通讯|S09工艺选择
72,S09参数写入完成,BOOL,,OFF,保持,私有,加液工位-PC TO PLC,,ns=4;s=上位机通讯|S09参数写入完成
73,S09工艺完成,INT,,0,保持,公有,加液工位-PLC TO PC,R10802,ns=4;s=上位机通讯|S09工艺完成
74,S09TIP盒工位编号,INT,,0,保持,公有,加液工位-PC TO PLC,R10804,ns=4;s=上位机通讯|S09TIP盒工位编号
75,S09TIP编号,INT,,0,保持,公有,加液工位-PC TO PLC,R10805,ns=4;s=上位机通讯|S09TIP编号
76,S09液体瓶编号,INT,,0,保持,公有,加液工位-PC TO PLC,R10806,ns=4;s=上位机通讯|S09液体瓶编号
77,S09抽液量,INT,,0,保持,公有,加液工位-PC TO PLC,R10807,ns=4;s=上位机通讯|S09抽液量
78,S09放液量,INT,,0,保持,公有,加液工位-PC TO PLC,R10808,ns=4;s=上位机通讯|S09放液量
79,S09天平读数稳定,BOOL,,OFF,不保持,私有,加液工位-PLC TO PC,,ns=4;s=上位机通讯|S09天平读数稳定
80,S09天平读数,REAL,,0.000000,保持,公有,加液工位-PLC TO PC,R10810,ns=4;s=上位机通讯|S09天平读数
81,S09液体瓶1剩余液量,REAL,,0.000000,保持,公有,加液工位-PC TO PLC,R10812,ns=4;s=上位机通讯|S09液体瓶1剩余液量
82,S09液体瓶2剩余液量,REAL,,0.000000,保持,公有,加液工位-PC TO PLC,R10814,ns=4;s=上位机通讯|S09液体瓶2剩余液量
83,S09液体瓶3剩余液量,REAL,,0.000000,保持,公有,加液工位-PC TO PLC,R10816,ns=4;s=上位机通讯|S09液体瓶3剩余液量
84,S09液体瓶4剩余液量,REAL,,0.000000,保持,公有,加液工位-PC TO PLC,R10818,ns=4;s=上位机通讯|S09液体瓶4剩余液量
85,S09液体瓶5剩余液量,REAL,,0.000000,保持,公有,加液工位-PC TO PLC,R10820,ns=4;s=上位机通讯|S09液体瓶5剩余液量
86,工站状态,INT[12],,...,保持,公有,,R10830,ns=4;s=上位机通讯|工站状态
,工站状态[0],INT,,0,,,S01状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中,R10830,ns=4;s=上位机通讯|工站状态[0]
,工站状态[1],INT,,0,,,S02状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中,R10831,ns=4;s=上位机通讯|工站状态[1]
,工站状态[2],INT,,0,,,S03状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中,R10832,ns=4;s=上位机通讯|工站状态[2]
,工站状态[3],INT,,0,,,S04状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中,R10833,ns=4;s=上位机通讯|工站状态[3]
,工站状态[4],INT,,0,,,S05状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中,R10834,ns=4;s=上位机通讯|工站状态[4]
,工站状态[5],INT,,0,,,S06状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中,R10835,ns=4;s=上位机通讯|工站状态[5]
,工站状态[6],INT,,0,,,S07状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中,R10836,ns=4;s=上位机通讯|工站状态[6]
,工站状态[7],INT,,0,,,S08状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中,R10837,ns=4;s=上位机通讯|工站状态[7]
,工站状态[8],INT,,0,,,S09状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中,R10838,ns=4;s=上位机通讯|工站状态[8]
,工站状态[9],INT,,0,,,S10状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中,R10839,ns=4;s=上位机通讯|工站状态[9]
,工站状态[10],INT,,0,,,S11状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中,R10840,ns=4;s=上位机通讯|工站状态[10]
,工站状态[11],INT,,0,,,S12状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中,R10841,ns=4;s=上位机通讯|工站状态[11]
87,PLC_R任务号,INT,,0,保持,公有,,,ns=4;s=上位机通讯|PLC_R任务号
88,S01取放料编号,INT,,0,保持,公有,PC-PLC,,ns=4;s=上位机通讯|S01取放料编号
89,S01出入料产品,INT,,0,保持,公有,PC-PLC ,,ns=4;s=上位机通讯|S01出入料产品
90,S02取放料编号,INT,,0,保持,公有,PC-PLC,,ns=4;s=上位机通讯|S02取放料编号
91,S03取放料产品,INT,,0,保持,公有,PC-PLC  ,,ns=4;s=上位机通讯|S03取放料产品
92,S03取放料编号,INT,,0,保持,公有,PC-PLC  ,,ns=4;s=上位机通讯|S03取放料编号
93,S04取放料编号,INT,,0,保持,公有,PC-PLC  ,,ns=4;s=上位机通讯|S04取放料编号
94,S071取放料编号,INT,,0,保持,公有,PC-PLC  ,,ns=4;s=上位机通讯|S071取放料编号
95,S072取放料产品,INT,,0,保持,公有,PC-PLC  ,,ns=4;s=上位机通讯|S072取放料产品
96,S08取放料产品,INT,,0,保持,公有,PC-PLC  ,,ns=4;s=上位机通讯|S08取放料产品
97,S08取放料编号,INT,,0,保持,公有,PC-PLC  ,,ns=4;s=上位机通讯|S08取放料编号
98,S09取放料产品,INT,,0,保持,公有,PC-PLC  ,,ns=4;s=上位机通讯|S09取放料产品
99,S09取放料编号,INT,,0,保持,公有,PC-PLC  ,,ns=4;s=上位机通讯|S09取放料编号
100,S10取放料编号,INT,,0,保持,公有,PC-PLC  ,,ns=4;s=上位机通讯|S10取放料编号
101,S11取放料产品,INT,,0,保持,公有,PC-PLC  ,,ns=4;s=上位机通讯|S11取放料产品
102,S11取放料编号,INT,,0,保持,公有,PC-PLC  ,,ns=4;s=上位机通讯|S11取放料编号
103,S07原点信号,BOOL,,OFF,保持,公有,PC-PLC 机器人可以取放料,,ns=4;s=上位机通讯|S07原点信号
104,S07允许加工,BOOL,,OFF,保持,公有,PLC-PC,,ns=4;s=上位机通讯|S07允许加工
105,S07工艺选择,INT,,0,保持,公有,PC-PLC 1.粉罐扫码盘点 2.替换粉罐旋转到进料位 3.注粉,,ns=4;s=上位机通讯|S07工艺选择
106,S07参数写入完成,BOOL,,OFF,保持,公有,PC-PLC ,,ns=4;s=上位机通讯|S07参数写入完成
107,S07工艺完成,INT,,0,保持,公有,PLC-PC,,ns=4;s=上位机通讯|S07工艺完成
108,S07上下料位置,INT,,0,保持,公有,PC-PLC 机器人取放料粉罐位,,ns=4;s=上位机通讯|S07上下料位置
109,S07粗注粉位置号,INT,,0,不保持,公有,PC-PLC 注粉位置号,,ns=4;s=上位机通讯|S07粗注粉位置号
110,S07精注粉位置号,INT,,0,不保持,公有,PC-PLC 注粉位置号,,ns=4;s=上位机通讯|S07精注粉位置号
111,S07注粉重量,REAL,,0.000000,不保持,公有,PC-PLC ,,ns=4;s=上位机通讯|S07注粉重量
112,S07_粗注粉开口量,INT[5],,...,不保持,公有,PC-PLC ,,ns=4;s=上位机通讯|S07_粗注粉开口量
,S07_粗注粉开口量[0],INT,,0,,,,,ns=4;s=上位机通讯|S07_粗注粉开口量[0]
,S07_粗注粉开口量[1],INT,,0,,,,,ns=4;s=上位机通讯|S07_粗注粉开口量[1]
,S07_粗注粉开口量[2],INT,,0,,,,,ns=4;s=上位机通讯|S07_粗注粉开口量[2]
,S07_粗注粉开口量[3],INT,,0,,,,,ns=4;s=上位机通讯|S07_粗注粉开口量[3]
,S07_粗注粉开口量[4],INT,,0,,,,,ns=4;s=上位机通讯|S07_粗注粉开口量[4]
113,S07_粗注粉落粉匀速,REAL[5],,...,不保持,公有,PC-PLC ,,ns=4;s=上位机通讯|S07_粗注粉落粉匀速
,S07_粗注粉落粉匀速[0],REAL,,0.000000,,,,,ns=4;s=上位机通讯|S07_粗注粉落粉匀速[0]
,S07_粗注粉落粉匀速[1],REAL,,0.000000,,,,,ns=4;s=上位机通讯|S07_粗注粉落粉匀速[1]
,S07_粗注粉落粉匀速[2],REAL,,0.000000,,,,,ns=4;s=上位机通讯|S07_粗注粉落粉匀速[2]
,S07_粗注粉落粉匀速[3],REAL,,0.000000,,,,,ns=4;s=上位机通讯|S07_粗注粉落粉匀速[3]
,S07_粗注粉落粉匀速[4],REAL,,0.000000,,,,,ns=4;s=上位机通讯|S07_粗注粉落粉匀速[4]
114,S07_粗注粉旋转速度,INT[5],,...,不保持,公有,PC-PLC ,,ns=4;s=上位机通讯|S07_粗注粉旋转速度
,S07_粗注粉旋转速度[0],INT,,0,,,,,ns=4;s=上位机通讯|S07_粗注粉旋转速度[0]
,S07_粗注粉旋转速度[1],INT,,0,,,,,ns=4;s=上位机通讯|S07_粗注粉旋转速度[1]
,S07_粗注粉旋转速度[2],INT,,0,,,,,ns=4;s=上位机通讯|S07_粗注粉旋转速度[2]
,S07_粗注粉旋转速度[3],INT,,0,,,,,ns=4;s=上位机通讯|S07_粗注粉旋转速度[3]
,S07_粗注粉旋转速度[4],INT,,0,,,,,ns=4;s=上位机通讯|S07_粗注粉旋转速度[4]
115,S07_粗注粉提请停止量,DINT[5],,...,不保持,公有,PC-PLC ,,ns=4;s=上位机通讯|S07_粗注粉提请停止量
,S07_粗注粉提请停止量[0],DINT,,0,,,,,ns=4;s=上位机通讯|S07_粗注粉提请停止量[0]
,S07_粗注粉提请停止量[1],DINT,,0,,,,,ns=4;s=上位机通讯|S07_粗注粉提请停止量[1]
,S07_粗注粉提请停止量[2],DINT,,0,,,,,ns=4;s=上位机通讯|S07_粗注粉提请停止量[2]
,S07_粗注粉提请停止量[3],DINT,,0,,,,,ns=4;s=上位机通讯|S07_粗注粉提请停止量[3]
,S07_粗注粉提请停止量[4],DINT,,0,,,,,ns=4;s=上位机通讯|S07_粗注粉提请停止量[4]
116,S07_粗注粉震荡最高速度,INT,,0,不保持,公有,PC-PLC ,,ns=4;s=上位机通讯|S07_粗注粉震荡最高速度
117,S07_精注粉开口量,INT[5],,...,不保持,公有,PC-PLC ,,ns=4;s=上位机通讯|S07_精注粉开口量
,S07_精注粉开口量[0],INT,,0,,,,,ns=4;s=上位机通讯|S07_精注粉开口量[0]
,S07_精注粉开口量[1],INT,,0,,,,,ns=4;s=上位机通讯|S07_精注粉开口量[1]
,S07_精注粉开口量[2],INT,,0,,,,,ns=4;s=上位机通讯|S07_精注粉开口量[2]
,S07_精注粉开口量[3],INT,,0,,,,,ns=4;s=上位机通讯|S07_精注粉开口量[3]
,S07_精注粉开口量[4],INT,,0,,,,,ns=4;s=上位机通讯|S07_精注粉开口量[4]
118,S07_精注粉落粉匀速,REAL[5],,...,不保持,公有,PC-PLC ,,ns=4;s=上位机通讯|S07_精注粉落粉匀速
,S07_精注粉落粉匀速[0],REAL,,0.000000,,,,,ns=4;s=上位机通讯|S07_精注粉落粉匀速[0]
,S07_精注粉落粉匀速[1],REAL,,0.000000,,,,,ns=4;s=上位机通讯|S07_精注粉落粉匀速[1]
,S07_精注粉落粉匀速[2],REAL,,0.000000,,,,,ns=4;s=上位机通讯|S07_精注粉落粉匀速[2]
,S07_精注粉落粉匀速[3],REAL,,0.000000,,,,,ns=4;s=上位机通讯|S07_精注粉落粉匀速[3]
,S07_精注粉落粉匀速[4],REAL,,0.000000,,,,,ns=4;s=上位机通讯|S07_精注粉落粉匀速[4]
119,S07_精注粉旋转速度,INT[5],,...,不保持,公有,PC-PLC ,,ns=4;s=上位机通讯|S07_精注粉旋转速度
,S07_精注粉旋转速度[0],INT,,0,,,,,ns=4;s=上位机通讯|S07_精注粉旋转速度[0]
,S07_精注粉旋转速度[1],INT,,0,,,,,ns=4;s=上位机通讯|S07_精注粉旋转速度[1]
,S07_精注粉旋转速度[2],INT,,0,,,,,ns=4;s=上位机通讯|S07_精注粉旋转速度[2]
,S07_精注粉旋转速度[3],INT,,0,,,,,ns=4;s=上位机通讯|S07_精注粉旋转速度[3]
