# Type,FX4000
# Serial Number,FX4K261305
# Timestamp,2026-06-10 11:45:45
# Integration Time (ms),50.0
# Average Count,3

Wavelength (nm),Intensity
198.57864980050817,1640.3333333333333
198.66855625159934,1640.3333333333333
198.75846484104966,1632.6666666666667
198.84837556811937,1647.0
198.93828843206865,1632.6666666666667
199.02820343215774,1637.3333333333333
199.11812056764677,1624.0
199.208039837796,1617.3333333333333
199.2979612418656,1649.6666666666667
199.3878847791158,1640.0
199.4778104488068,1697.6666666666667
199.56773825019872,1669.6666666666667
199.65766818255184,1655.6666666666667
199.74760024512636,1658.6666666666667
199.83753443718246,1631.0
199.9274707579803,1653.3333333333333
200.01740920678017,1666.3333333333333
200.10734978284222,1624.3333333333333
200.1972924854266,1641.3333333333333
200.28723731379358,1636.0
200.37718426720335,1623.6666666666667
200.46713334491614,1621.6666666666667
200.55708454619204,1606.0
200.64703787029137,1607.3333333333333
200.73699331647424,1649.0
200.82695088400092,1659.0
200.91691057213157,1668.0
201.00687238012637,1633.6666666666667
201.0968363072456,1636.0
201.18680235274942,1654.3333333333333
201.27677051589797,1642.0
201.3667407959515,1603.6666666666667
201.45671319217027,1618.0
201.54668770381437,1653.6666666666667
201.63666433014404,1616.6666666666667
201.7266430704195,1597.3333333333333
201.81662392390098,1612.3333333333333
201.90660688984863,1654.6666666666667
201.99659196752262,1659.3333333333333
202.0865791561832,1637.0
202.17656845509057,1597.6666666666667
202.26655986350494,1622.0
202.35655338068645,1629.6666666666667
202.44654900589535,1650.6666666666667
202.53654673839188,1677.0
202.62654657743613,1650.0
202.71654852228838,1631.6666666666667
202.8065525722088,1614.0
202.89655872645764,1636.3333333333333
202.986566984295,1647.6666666666667
203.07657734498116,1631.3333333333333
203.16658980777632,1614.0
203.25660437194065,1634.0
203.34662103673438,1654.6666666666667
203.43663980141767,1666.6666666666667
203.52666066525074,1684.0
203.61668362749376,1638.6666666666667
203.706708687407,1599.0
203.7967358442506,1617.0
203.8867650972848,1639.6666666666667
203.9767964457698,1655.0
204.0668298889657,1624.3333333333333
204.15686542613284,1644.6666666666667
204.24690305653138,1655.0
204.33694277942146,1650.3333333333333
204.42698459406333,1631.3333333333333
204.51702849971718,1622.6666666666667
204.60707449564322,1668.0
204.69712258110164,1686.0
204.7871727553526,1670.0
204.87722501765637,1657.3333333333333
204.96727936727314,1651.0
205.05733580346305,1646.3333333333333
205.14739432548635,1636.0
205.23745493260327,1660.0
205.32751762407392,1657.6666666666667
205.41758239915856,1652.3333333333333
205.50764925711738,1605.0
205.5977181972106,1618.3333333333333
205.6877892186984,1618.0
205.777862320841,1611.3333333333333
205.8679375028985,1597.3333333333333
205.95801476413126,1626.3333333333333
206.04809410379934,1656.3333333333333
206.13817552116305,1674.0
206.2282590154825,1646.3333333333333
206.318344586018,1602.3333333333333
206.40843223202958,1633.6666666666667
206.49852195277762,1628.0
206.5886137475222,1663.3333333333333
206.6787076155236,1639.6666666666667
206.76880355604195,1657.6666666666667
206.85890156833744,1650.3333333333333
206.94900165167036,1638.0
207.03910380530084,1660.6666666666667
207.12920802848913,1664.3333333333333
207.21931432049536,1666.6666666666667
207.3094226805798,1687.6666666666667
207.39953310800263,1679.3333333333333
207.48964560202398,1622.0
207.57976016190418,1615.6666666666667
207.66987678690333,1636.0
207.75999547628166,1652.0
207.85011622929935,1653.3333333333333
207.94023904521663,1621.3333333333333
208.03036392329375,1644.6666666666667
208.12049086279077,1649.6666666666667
208.210619862968,1647.0
208.30075092308562,1641.6666666666667
208.3908840424038,1606.0
208.4810192201828,1662.0
208.5711564556827,1666.0
208.66129574816384,1617.0
208.75143709688638,1602.6666666666667
208.84158050111046,1671.3333333333333
208.93172596009632,1683.3333333333333
209.02187347310414,1650.0
209.1120230393942,1618.3333333333333
209.20217465822662,1637.0
209.2923283288616,1617.3333333333333
209.38248405055938,1616.6666666666667
209.47264182258013,1659.6666666666667
209.56280164418405,1657.6666666666667
209.65296351463135,1621.6666666666667
209.74312743318225,1626.3333333333333
209.83329339909693,1647.3333333333333
209.92346141163557,1625.6666666666667
210.01363147005839,1641.6666666666667
210.10380357362564,1646.0
210.1939777215974,1642.6666666666667
210.28415391323395,1633.3333333333333
210.3743321477955,1633.3333333333333
210.46451242454228,1638.0
210.55469474273437,1635.3333333333333
210.64487910163203,1646.6666666666667
210.7350655004955,1625.0
210.82525393858498,1612.3333333333333
210.9154444151606,1640.6666666666667
211.00563692948262,1606.3333333333333
211.09583148081117,1612.6666666666667
211.18602806840659,1646.0
211.27622669152893,1651.6666666666667
211.36642734943845,1649.3333333333333
211.45663004139536,1638.3333333333333
211.54683476665986,1652.0
211.63704152449213,1638.6666666666667
211.72725031415237,1597.6666666666667
211.8174611349008,1626.0
211.9076739859976,1645.0
211.997888866703,1631.6666666666667
212.08810577627716,1614.3333333333333
212.17832471398034,1640.0
212.26854567907264,1648.0
212.35876867081438,1670.3333333333333
212.44899368846566,1663.6666666666667
212.53922073128675,1645.0
212.62944979853776,1661.6666666666667
212.71968088947898,1648.0
212.8099140033706,1626.0
212.9001491394728,1635.6666666666667
212.99038629704577,1645.6666666666667
213.0806254753497,1650.0
213.17086667364484,1647.6666666666667
213.26110989119138,1643.0
213.35135512724946,1615.6666666666667
213.44160238107932,1646.0
213.53185165194114,1643.3333333333333
213.6221029390952,1659.0
213.71235624180161,1677.6666666666667
213.80261155932058,1652.3333333333333
213.89286889091235,1662.6666666666667
213.98312823583714,1643.0
214.07338959335505,1636.6666666666667
214.16365296272636,1654.6666666666667
214.25391834321127,1658.0
214.34418573406992,1641.6666666666667
214.43445513456257,1612.0
214.5247265439494,1590.0
214.6149999614906,1599.6666666666667
214.7052753864464,1614.0
214.79555281807697,1633.3333333333333
214.8858322556425,1631.0
214.97611369840325,1634.6666666666667
215.06639714561936,1636.3333333333333
215.15668259655104,1630.3333333333333
215.24697005045851,1629.6666666666667
215.33725950660198,1633.3333333333333
215.4275509642416,1591.3333333333333
215.5178444226376,1644.6666666666667
215.6081398810502,1647.0
215.69843733873958,1682.0
215.78873679496593,1635.3333333333333
215.87903824898945,1631.3333333333333
215.96934170007037,1651.0
216.05964714746887,1642.6666666666667
216.14995459044513,1635.0
216.2402640282594,1662.6666666666667
216.3305754601718,1648.0
216.4208888854426,1637.6666666666667
216.51120430333202,1665.6666666666667
216.60152171310017,1636.3333333333333
216.69184111400733,1635.6666666666667
216.78216250531364,1665.0
216.87248588627935,1637.6666666666667
216.96281125616463,1605.0
217.05313861422974,1604.6666666666667
217.14346795973478,1681.0
217.23379929194002,1630.6666666666667
217.3241326101056,1594.6666666666667
217.41446791349182,1606.6666666666667
217.50480520135878,1644.6666666666667
217.59514447296672,1646.6666666666667
217.68548572757584,1633.6666666666667
217.77582896444636,1595.0
217.86617418283845,1628.6666666666667
217.9565213820123,1620.6666666666667
218.04687056122813,1625.6666666666667
218.1372217197462,1644.6666666666667
218.2275748568266,1649.3333333333333
218.3179299717296,1656.3333333333333
218.40828706371536,1648.3333333333333
218.49864613204412,1630.6666666666667
218.58900717597606,1588.0
218.67937019477134,1629.0
218.76973518769026,1645.0
218.86010215399293,1639.6666666666667
218.95047109293958,1645.6666666666667
219.0408420037904,1644.0
219.1312148858056,1646.3333333333333
219.2215897382454,1596.6666666666667
219.31196656036997,1619.0
219.40234535143952,1594.0
219.49272611071427,1611.6666666666667
219.58310883745438,1617.0
219.67349353092007,1652.0
219.7638801903715,1646.6666666666667
219.854268815069,1625.0
219.9446594042726,1595.3333333333333
220.0350519572426,1619.6666666666667
220.1254464732392,1648.3333333333333
220.21584295152257,1633.0
220.30624139135293,1647.0
220.39664179199045,1668.6666666666667
220.48704415269535,1692.3333333333333
220.57744847272787,1653.3333333333333
220.6678547513481,1626.3333333333333
220.75826298781635,1650.0
220.84867318139283,1624.6666666666667
220.93908533133762,1613.0
221.029499436911,1610.0
