Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId,设备模块
堆栈R速度,Stack_RSpeed,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Stack_RSpeed,
堆栈Z速度,Stack_ZSpeed,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Stack_ZSpeed,
堆栈指令类型,Stack_CmdType,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Stack_CmdType,
堆栈指令触发,Stack_CmdTrig,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Stack_CmdTrig,
堆栈物料检测结果,Stack_DetectResult,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Stack_DetectResult,
机械手X位置反馈,Robot_XPosFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_XPosFB,"机械手
1=X向左
2=X向右
3=机械手去目标位置目标板位夹料
4=机械手去目标位置目标板位放料
7=复位
8=失能
9=使能
10=给机器人发动作命令，收到动作完成反馈要复位动作命令"
机械手完成反馈,Robot_FinishFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_FinishFB,
机械手X运行位置,Robot_XPosSet,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_XPosSet,
机械手X速度,Robot_XSpeedSet,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_XSpeedSet,
机械手机械手模块号(每个工站对应不同动作),Robot_ModuleNoSet,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_ModuleNoSet,
机械手机械手在烘箱的运行动作,Robot_Oven,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Oven,
机械手机械手在紧缩结构的运行动作,Robot_Locking_mechanism,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Locking_mechanism,
机械手机械手在快换结构的运行动作,Robot_Quick_change_mechanism,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Quick_change_mechanism,
机械手机械手在离心机的运行动作,Robot_Centrifuge,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Centrifuge,
机械手机械手在真空烘箱的运行动作,Robot_Vacuum_oven,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Vacuum_oven,
机械手机械手在9320的运行动作,Robot_9320,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_9320,
机械手机械手在离心管液体处理的运行动作,Robot_Centrifuge_tube_liquid_handling,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Centrifuge_tube_liquid_handling,
机械手机械手在堆栈的运行动作,Robot_Stack,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Stack,
机械手机械手在固体加样的运行动作,Robot_Add_solid_sample,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Add_solid_sample,
机械手机械手在烘箱的运行动作完成反馈,Robot_Oven_Done,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Oven_Done,
机械手机械手在紧缩结构的运行动作完成反馈,Robot_Locking_mechanism_Done,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Locking_mechanism_Done,
机械手机械手在快换结构的运行动作完成反馈,Robot_Quick_change_mechanism_Done,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Quick_change_mechanism_Done,
机械手机械手在离心机的运行动作完成反馈,Robot_Centrifuge_Done,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Centrifuge_Done,
机械手机械手在真空烘箱的运行动作完成反馈,Robot_Vacuum_oven_Done,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Vacuum_oven_Done,
机械手机械手在9320的运行动作完成反馈,Robot_Nine_9320_Done,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Nine_9320_Done,
机械手机械手在离心管液体处理的运行动作完成反馈,Robot_Centrifuge_tube_liquid_handling_Done,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Centrifuge_tube_liquid_handling_Done,
机械手机械手在堆栈的运行动作完成反馈,Robot_Stack_Done,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Stack_Done,
机械手机械手在固体加样的运行动作完成反馈,Robot_Add_solid_sample_Done,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Add_solid_sample_Done,
机械手机器人反馈错误代码,Robot_Error_code,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Error_code,
机械手机器人运行状态,Robot_Running_Status,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Running_Status,
机械手机器人回原点,Robot_gohome,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_gohome,
机械手机器人回原点完成,Robot_gohome_done,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_gohome_done,
机械手机器人停止,Robot_STOP,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_STOP,
机械手机器人夹取还是放置,Robot_Pick up or place,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Pick up or place,
机械手指令类型,Robot_CmdType,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_CmdType,
机械手指令触发,Robot_CmdTrig,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_CmdTrig,
