Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId,设备模块
七个液冷模块离心管液体处理模块3温度反馈,Liquid_Cooling_CentrifugeTube_3_FB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_3_FB,
七个液冷模块离心管液体处理模块4温度反馈,Liquid_Cooling_CentrifugeTube_4_FB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_4_FB,
七个液冷模块离心管液体处理模块5温度反馈,Liquid_Cooling_CentrifugeTube_5_FB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_5_FB,
七个液冷模块液冷模块开关完成反馈,Liquid_Cooling_Complete_FB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_Complete_FB,
七个液冷模块9320液冷模块1温度设置,Liquid_Cooling_9320_Temperature_1_SET,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_9320_Temperature_1_SET,
七个液冷模块9320液冷模块2温度设置,Liquid_Cooling_9320_Temperature_2_SET,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_9320_Temperature_2_SET,
七个液冷模块离心管液体处理模块1温度设置,Liquid_Cooling_CentrifugeTube_Temperature_1_SET,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_Temperature_1_SET,
七个液冷模块离心管液体处理模块2温度设置,Liquid_Cooling_CentrifugeTube_Temperature_2_SET,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_Temperature_2_SET,
七个液冷模块离心管液体处理模块3温度设置,Liquid_Cooling_CentrifugeTube_Temperature_3_SET,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_Temperature_3_SET,
七个液冷模块离心管液体处理模块4温度设置,Liquid_Cooling_CentrifugeTube_Temperature_4_SET,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_Temperature_4_SET,
七个液冷模块离心管液体处理模块5温度设置,Liquid_Cooling_CentrifugeTube_Temperature_5_SET,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_Temperature_5_SET,
七个液冷模块指令类型,Cooling_CmdType,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Cooling_CmdType,
七个液冷模块指令触发,Cooling_CmdTrig,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Cooling_CmdTrig,
