Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId,描述,设备模块指令
VacuumOven_VacuumHigh_4,VacuumOven_VacuumHigh_4,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumHigh_4,真空控制上限4,
VacuumOven_VacuumLow_4,VacuumOven_VacuumLow_4,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumLow_4,真空控制下限4,
VacuumOven_TempSet_5,VacuumOven_TempSet_5,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TempSet_5,运行温度设置5,
VacuumOven_TimeSet_5,VacuumOven_TimeSet_5,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TimeSet_5,运行时间设置5,
VacuumOven_VacuumHigh_5,VacuumOven_VacuumHigh_5,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumHigh_5,真空控制上限5,
VacuumOven_VacuumLow_5,VacuumOven_VacuumLow_5,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumLow_5,真空控制下限5,
VacuumOven_TempSet_6,VacuumOven_TempSet_6,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TempSet_6,运行温度设置6,
VacuumOven_TimeSet_6,VacuumOven_TimeSet_6,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TimeSet_6,运行时间设置6,
VacuumOven_VacuumHigh_6,VacuumOven_VacuumHigh_6,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumHigh_6,真空控制上限6,
VacuumOven_VacuumLow_6,VacuumOven_VacuumLow_6,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumLow_6,真空控制下限6,
VacuumOven_STOP,VacuumOven_STOP,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_STOP,真空烘箱停止,为1时停止
VacuumOven_CmdType,VacuumOven_CmdType,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_CmdType,指令类型,真空烘箱: 1=启动;2=复位 100=开门，101=关门
VacuumOven_CmdTrig,VacuumOven_CmdTrig,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_CmdTrig,指令触发,
Liquid_Cooling_9320_1_FB,Liquid_Cooling_9320_1_FB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_9320_1_FB,9320液冷模块1温度反馈,
Liquid_Cooling_9320_2_FB,Liquid_Cooling_9320_2_FB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_9320_2_FB,9320液冷模块2温度反馈,
Liquid_Cooling_CentrifugeTube_1_FB,Liquid_Cooling_CentrifugeTube_1_FB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_1_FB,离心管液体处理模块1温度反馈,
Liquid_Cooling_CentrifugeTube_2_FB,Liquid_Cooling_CentrifugeTube_2_FB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_2_FB,离心管液体处理模块2温度反馈,
Liquid_Cooling_CentrifugeTube_3_FB,Liquid_Cooling_CentrifugeTube_3_FB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_3_FB,离心管液体处理模块3温度反馈,
Liquid_Cooling_CentrifugeTube_4_FB,Liquid_Cooling_CentrifugeTube_4_FB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_4_FB,离心管液体处理模块4温度反馈,
Liquid_Cooling_CentrifugeTube_5_FB,Liquid_Cooling_CentrifugeTube_5_FB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_5_FB,离心管液体处理模块5温度反馈,
Liquid_Cooling_Complete_FB,Liquid_Cooling_Complete_FB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_Complete_FB,液冷模块开关完成反馈,
Liquid_Cooling_9320_Temperature_1_SET,Liquid_Cooling_9320_Temperature_1_SET,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_9320_Temperature_1_SET,9320液冷模块1温度设置,
Liquid_Cooling_9320_Temperature_2_SET,Liquid_Cooling_9320_Temperature_2_SET,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_9320_Temperature_2_SET,9320液冷模块2温度设置,
Liquid_Cooling_CentrifugeTube_Temperature_1_SET,Liquid_Cooling_CentrifugeTube_Temperature_1_SET,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_Temperature_1_SET,离心管液体处理模块1温度设置,
Liquid_Cooling_CentrifugeTube_Temperature_2_SET,Liquid_Cooling_CentrifugeTube_Temperature_2_SET,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_Temperature_2_SET,离心管液体处理模块2温度设置,
Liquid_Cooling_CentrifugeTube_Temperature_3_SET,Liquid_Cooling_CentrifugeTube_Temperature_3_SET,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_Temperature_3_SET,离心管液体处理模块3温度设置,
Liquid_Cooling_CentrifugeTube_Temperature_4_SET,Liquid_Cooling_CentrifugeTube_Temperature_4_SET,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_Temperature_4_SET,离心管液体处理模块4温度设置,
Liquid_Cooling_CentrifugeTube_Temperature_5_SET,Liquid_Cooling_CentrifugeTube_Temperature_5_SET,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_Temperature_5_SET,离心管液体处理模块5温度设置,
Cooling_CmdType,Cooling_CmdType,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Cooling_CmdType,指令类型,七个液冷模块: 1=温度设置;2=液冷模块开启;3=液冷模块关闭
Cooling_CmdTrig,Cooling_CmdTrig,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Cooling_CmdTrig,指令触发,
Device_error,Device_error,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Device_error,设备报错错发蜂鸣器和红灯,
